"","Date","Rides"
"1",2019-01-01,19110
"2",2019-01-02,24055
"3",2019-01-03,28028
"4",2019-01-04,29721
"5",2019-01-05,19212
"6",2019-01-06,18148
"7",2019-01-07,28792
"8",2019-01-08,30730
"9",2019-01-09,35747
"10",2019-01-10,38262
"11",2019-01-11,37365
"12",2019-01-12,21720
"13",2019-01-13,16328
"14",2019-01-14,29996
"15",2019-01-15,34458
"16",2019-01-16,36520
"17",2019-01-17,38159
"18",2019-01-18,36753
"19",2019-01-19,19443
"20",2019-01-20,17781
"21",2019-01-21,21791
"22",2019-01-22,35460
"23",2019-01-23,38184
"24",2019-01-24,40782
"25",2019-01-25,37155
"26",2019-01-26,19980
"27",2019-01-27,17114
"28",2019-01-28,27789
"29",2019-01-29,31528
"30",2019-01-30,9278
"31",2019-01-31,19783
"32",2019-02-01,36856
"33",2019-02-02,19396
"34",2019-02-03,16331
"35",2019-02-04,31668
"36",2019-02-05,35102
"37",2019-02-06,36469
"38",2019-02-07,42328
"39",2019-02-08,41676
"40",2019-02-09,22306
"41",2019-02-10,17847
"42",2019-02-11,33370
"43",2019-02-12,37097
"44",2019-02-13,39648
"45",2019-02-14,37228
"46",2019-02-15,41050
"47",2019-02-16,25729
"48",2019-02-17,20785
"49",2019-02-18,25947
"50",2019-02-19,36210
"51",2019-02-20,40567
"52",2019-02-21,44172
"53",2019-02-22,45128
"54",2019-02-23,28567
"55",2019-02-24,20685
"56",2019-02-25,34289
"57",2019-02-26,37335
"58",2019-02-27,39500
"59",2019-02-28,42720
"60",2019-03-01,43457
"61",2019-03-02,27091
"62",2019-03-03,25161
"63",2019-03-04,41120
"64",2019-03-05,42952
"65",2019-03-06,41367
"66",2019-03-07,43041
"67",2019-03-08,38875
"68",2019-03-09,22817
"69",2019-03-10,18604
"70",2019-03-11,33740
"71",2019-03-12,36960
"72",2019-03-13,39196
"73",2019-03-14,43931
"74",2019-03-15,46957
"75",2019-03-16,41695
"76",2019-03-17,24129
"77",2019-03-18,35644
"78",2019-03-19,36326
"79",2019-03-20,40535
"80",2019-03-21,41974
"81",2019-03-22,40815
"82",2019-03-23,25507
"83",2019-03-24,21977
"84",2019-03-25,31232
"85",2019-03-26,33798
"86",2019-03-27,34994
"87",2019-03-28,37039
"88",2019-03-29,37990
"89",2019-03-30,25475
"90",2019-03-31,21763
"91",2019-04-01,34809
"92",2019-04-02,36943
"93",2019-04-03,40206
"94",2019-04-04,46684
"95",2019-04-05,41219
"96",2019-04-06,19556
"97",2019-04-07,11076
"98",2019-04-08,18941
"99",2019-04-09,21002
"100",2019-04-10,23999
"101",2019-04-11,22944
"102",2019-04-12,20986
"103",2019-04-13,18925
"104",2019-04-14,21112
"105",2019-04-15,33434
"106",2019-04-16,34518
